word,count
chief,763
financi,643
60,203
big,510
agre,420
sweeten,23
transact,133
abl,286
unanim,26
offic,496
payless,3
deal,644
involv,296
allow,519
earn,484
fast,84
ha,2008
oper,886
month,1057
advantag,130
thrifti,8
calcul,55
180,21
expand,240
process,263
29.50,1
hurt,103
397,2
expert,147
17.25,5
thi,1820
aid,81
term,421
contigu,1
chain,91
excit,51
would,1816
drugstor,5
price,883
ohio-bas,12
16,161
160,29
initi,262
onc,246
sign,349
percent,1501
b,45
unsolicit,11
origin,133
afternoon,106
retail,199
peopl,741
inc.,414
saw,208
advisori,37
technolog,335
twinsburg,1
industri,1018
stock,795
share,1112
say,999
system,492
although,371
capabl,59
board,283
weekend,101
seen,398
call,678
wall,214
express,168
consolid,142
thrift,7
director,486
wa,2114
14,231
pact,86
conclus,53
380,11
detail,282
well-plac,6
ensur,121
appar,76
manag,696
analyst,1221
nov,7
signific,240
consum,357
year,1967
"2,202",1
j.c.,8
research-maxu,3
drug,99
new,1472
expir,51
litig,26
smooth,34
1.8,58
heaviliy,2
reject,130
potenti,334
veri,728
lower,417
base,598
last,1325
due,467
burgeon,15
rais,402
17,155
comment,441
accompani,32
d.,9
transit,136
hoven,1
view,294
exchang,474
paid,169
billion,1070
second-,4
street,269
also,1545
strauss,18
15,335
agreement,325
accept,204
assess,44
bidder,69
said,2482
buy,547
captur,38
newli,40
285,7
discount,90
realli,231
store,153
corp.,508
spread,83
distribut,148
sharehold,411
extend,124
overlap,33
step,286
especi,183
york,355
one,1468
giant,326
higher,458
disappoint,151
common,123
bring,249
close,691
declin,572
revco,4
west,100
15.,5
georgia,13
b.,3
take,881
invest,610
capac,170
takeov,217
fight,117
withdrawn,17
43.75,2
familiar,29
market,1473
dwayn,11
approv,325
health,126
profit,786
fail,222
custom,412
concern,385
union,233
recent,777
took,251
larger,98
regul,254
book,105
success,290
bessem,1
sold,208
expertis,57
pleas,85
rite,6
eckerd,2
12.5,34
known,239
haggl,10
execut,821
offer,624
better,378
mani,626
trade,840
bosshard,3
fay,1
compani,1572
southeast,31
10th-largest,1
sale,697
rapidli,86
state,862
met,119
prescript,11
eastern,57
track,139
midwest,15
million,1378
mark,217
work,608
provid,471
ala.-bas,1
monday,598
unit,868
latest,236
tumbl,36
1.4,61
co.,289
group,1058
began,195
revis,75
first,1090
collaps,78
clout,21
presid,623
increas,715
difficulti,67
togeth,178
effici,134
among,387
per,432
centr,190
like,897
throughout,86
impact,211
region,396
