X,Y
A,a
A,c
B,a
B,a
A,a
B,a
B,a
B,d
C,a
A,a
B,d
A,c
A,d
A,c
A,c
B,a
B,a
A,d
B,a
A,c
A,c
C,d
B,b
B,b
A,c
A,c
A,c
A,c
C,c
A,c
D,b
C,d
B,b
D,a
C,b
C,d
D,a
A,d
C,c
A,c
A,c
B,d
B,a
C,c
C,b
D,a
C,e
B,d
A,c
B,a
D,a
A,c
A,c
B,a
C,b
A,c
A,b
C,a
C,e
A,a
A,c
C,d
A,a
A,c
A,c
B,b
B,a
C,e
C,b
A,c
A,c
B,b
A,c
B,c
B,a
A,c
A,c
C,c
C,e
C,c
B,a
A,c
C,d
D,a
B,a
B,a
B,a
B,d
C,e
A,a
A,c
C,b
A,c
C,d
B,b
A,c
C,b
C,d
A,c
A,b
A,c
C,d
A,b
C,d
A,c
A,c
D,a
C,a
B,b
B,a
A,c
A,c
C,b
D,b
A,c
A,a
B,a
A,c
A,c
A,c
D,a
A,b
C,b
B,a
A,c
A,c
B,c
B,d
C,e
A,c
C,e
C,e
C,c
A,c
B,d
A,c
C,d
A,c
A,d
A,c
B,a
A,a
A,d
B,c
A,c
B,a
C,a
B,a
B,a
C,b
A,c
A,c
C,a
B,a
A,c
B,a
C,b
B,a
C,d
A,a
B,d
C,d
A,c
C,c
C,e
C,b
B,c
A,c
B,a
A,c
C,a
B,d
B,a
A,a
B,a
A,c
C,e
A,c
A,b
A,c
A,a
C,e
A,c
B,c
C,d
A,c
B,b
C,d
D,a
A,c
C,d
C,b
B,d
C,b
C,c
B,a
B,a
B,a
A,b
A,c
B,b
B,a
A,b
A,c
A,c
A,c
C,b
B,a
A,c
A,c
C,e
C,e
A,a
C,d
B,c
A,c
C,a
C,e
A,b
C,c
A,c
A,d
C,a
B,a
D,a
B,b
B,c
A,c
B,b
A,c
A,c
C,b
D,a
B,a
A,d
C,c
B,a
B,a
C,c
B,a
C,a
C,b
B,b
B,a
A,c
B,b
A,c
C,d
B,a
A,c
A,c
A,a
C,c
C,c
A,c
C,a
A,c
C,c
A,c
B,a
B,a
A,c
C,d
D,a
A,b
C,a
C,c
A,c
A,c
A,c
B,a
B,a
A,c
A,c
A,c
A,c
A,d
D,a
B,c
A,a
A,d
C,e
C,b
C,e
A,a
C,d
A,b
A,c
B,a
C,b
A,d
C,b
B,a
A,c
C,c
A,b
B,c
C,a
D,a
B,c
A,d
C,e
B,a
A,c
A,c
C,d
A,a
B,a
C,b
C,b
C,b
C,a
B,a
A,b
A,b
B,a
A,c
C,b
D,a
A,d
B,b
A,c
B,c
A,b
B,b
B,a
B,d
A,c
C,e
B,a
A,b
B,a
C,a
B,c
A,a
A,c
B,a
A,c
A,a
C,b
C,c
B,a
C,d
A,c
B,a
A,c
B,d
B,a
A,c
A,c
B,a
B,a
C,d
A,d
A,a
A,d
C,b
C,b
A,b
A,c
C,e
B,a
B,b
C,c
A,c
A,c
A,a
B,a
D,a
A,d
C,b
C,b
D,a
A,d
B,a
B,c
D,a
A,c
A,b
A,c
B,b
B,a
C,d
A,d
B,a
C,d
C,b
A,c
C,b
A,b
C,e
D,a
B,a
C,d
A,c
A,d
A,c
B,a
C,c
A,a
C,c
C,c
C,e
A,c
C,d
A,c
D,a
B,a
A,c
A,d
B,a
C,e
A,c
A,c
B,a
B,a
A,c
C,a
C,e
B,a
B,c
A,c
C,c
C,e
A,d
A,c
D,a
C,b
A,c
A,c
A,c
C,a
A,d
A,c
C,a
C,b
C,d
B,b
B,a
B,b
C,a
A,c
C,c
B,a
A,c
B,a
A,a
B,c
C,d
C,e
A,c
A,d
B,a
C,c
B,d
A,d
A,c
C,d
A,c
A,c
A,c
D,a
C,a
C,c
C,b
C,b
A,c
A,b
B,d
D,a
C,c
A,c
D,a
A,c
B,a
B,d
A,b
A,c
B,a
C,d
D,a
A,c
B,a
A,c
C,a
B,a
A,d
A,c
B,a
A,c
B,a
B,a
B,a
A,d
C,b
B,a
C,b
C,c
A,c
B,a
C,e
B,a
C,c
B,c
A,c
B,b
B,a
B,a
C,c
B,a
B,d
A,c
B,b
C,e
A,c
C,a
B,b
C,a
C,a
A,d
C,d
A,c
A,c
A,c
C,d
C,e
A,c
A,c
B,a
A,c
C,a
A,c
B,c
A,c
C,e
C,c
C,e
A,c
A,c
C,e
A,d
B,a
C,d
A,c
A,d
C,b
B,a
C,a
B,c
C,b
A,c
A,b
A,d
C,a
C,e
A,c
C,c
A,a
A,c
B,b
D,a
A,c
A,c
A,c
B,a
C,a
D,a
C,a
B,b
B,a
A,c
B,a
B,a
C,a
C,e
C,d
B,a
B,a
B,a
B,a
B,a
C,b
C,d
D,a
B,b
A,d
C,a
C,d
A,b
A,a
B,a
A,c
C,e
B,c
B,d
B,a
B,a
A,c
C,a
C,b
B,d
A,c
A,c
B,b
C,b
A,b
C,c
A,d
B,a
A,d
B,a
B,c
B,a
C,d
A,c
B,d
A,c
A,d
A,c
C,d
B,a
C,c
A,c
B,c
C,d
A,c
A,a
A,c
C,c
A,a
B,a
C,e
A,d
B,a
C,e
C,b
A,d
A,c
B,b
C,c
C,c
B,a
C,c
C,b
C,c
B,b
A,c
B,b
C,d
A,c
A,c
A,a
C,b
A,c
A,c
B,a
A,b
A,c
B,b
A,b
B,a
D,a
C,e
B,a
B,c
B,b
B,c
A,c
B,a
B,a
A,d
A,a
B,d
C,a
A,b
B,a
A,c
B,a
B,c
B,b
A,c
B,c
B,c
A,c
C,a
A,c
A,a
A,c
B,b
A,c
C,e
A,c
A,c
C,e
C,d
B,c
A,c
C,d
A,c
C,e
A,c
B,a
A,c
C,d
B,d
A,c
D,a
C,c
A,a
A,c
C,d
C,a
C,e
A,c
A,c
A,c
B,b
C,e
B,c
B,d
B,a
A,a
A,c
A,c
D,a
B,b
A,c
B,c
A,c
A,d
A,c
B,c
A,b
C,b
B,a
B,c
B,a
B,a
A,c
C,a
A,c
A,c
B,d
A,c
C,d
A,c
C,b
A,c
C,d
A,c
B,d
C,d
D,a
C,d
B,a
B,d
B,a
C,c
A,a
C,c
A,b
A,c
A,c
C,e
C,a
A,b
B,a
C,e
C,a
C,c
C,d
B,a
A,c
C,e
A,c
D,a
C,c
C,a
A,c
A,d
D,a
B,a
C,a
B,a
C,c
B,c
B,b
B,a
A,c
A,d
C,c
A,a
D,a
A,c
B,b
A,c
B,b
B,a
A,b
A,b
B,a
B,a
C,a
A,c
A,c
B,d
A,c
A,c
B,a
B,c
C,b
C,d
C,b
B,a
C,c
A,a
D,a
B,c
C,c
D,a
B,d
A,c
C,d
A,b
A,c
B,a
A,c
C,d
A,b
C,c
A,a
B,c
A,c
D,a
B,a
B,c
D,a
A,a
A,c
A,c
B,a
B,a
B,a
A,a
C,d
A,c
B,a
A,c
A,c
A,b
D,a
A,d
B,a
C,b
B,a
D,a
C,b
A,b
B,a
B,a
B,a
A,a
A,d
B,a
C,a
C,e
A,c
B,b
A,a
A,c
A,c
B,a
A,c
C,d
B,c
A,c
C,b
B,c
A,c
A,c
B,b
B,a
C,a
B,a
D,d
C,e
B,a
B,b
B,a
B,a
C,e
A,c
A,c
B,b
B,b
C,a
D,a
C,e
A,c
A,c
B,a
C,c
B,a
C,c
C,a
C,a
C,e
B,b
A,c
B,c
B,a
B,a
C,c
C,c
A,a
C,e
A,d
C,d
C,e
C,c
B,b
